
2025-04-15 09:48:08:532 MCU   @[N] end of movement. target=-400290 actual=-399131 (-1159)
2025-04-15 09:48:08:734 MCU   @[N] stopped at position (4.99) (type: 0) (motion control)
2025-04-15 09:48:08:735 MCU   @[V] end of movement. target=170585 actual=170041 (544)
2025-04-15 09:48:08:937 MCU   @[V] stopped at position (-4.98) (type: 0) (motion control)
2025-04-15 09:48:08:939 MCU   @[N] start moving to 63.51 (motion control)
2025-04-15 09:48:08:960 MCU   @[V] start moving to -24.01 (motion control)
2025-04-15 09:48:09:149 MCU   @[N] start moving to target position. target=-5084775
2025-04-15 09:48:09:295 MCU   @[V] start moving to target position. target=819306
2025-04-15 09:48:09:496 MCU   @[Y] end of movement. target=-293546 actual=-293607 (61)
2025-04-15 09:48:09:699 MCU   @[Y] stopped at position (-5.00) (type: 0) (motion control)
2025-04-15 09:48:09:700 MCU   @[H] end of movement. target=170585 actual=170581 (4)
2025-04-15 09:48:09:902 MCU   @[Y] start moving to -14.26 (motion control)
2025-04-15 09:48:09:903 MCU   @[H] stopped at position (-5.00) (type: 0) (motion control)
2025-04-15 09:48:09:925 MCU   @[H] start moving to -43.00 (motion control)
2025-04-15 09:48:10:113 MCU   @[Y] start moving to target position. target=-836943
2025-04-15 09:48:10:258 MCU   @[H] start moving to target position. target=1467206
2025-04-15 09:48:12:469 MCU   @[X] end of movement. target=-293546 actual=-293603 (57)
2025-04-15 09:48:12:471 MCU   @[V] end of movement. target=819306 actual=820385 (-1079)
2025-04-15 09:48:12:673 MCU   @[X] stopped at position (-5.00) (type: 0) (motion control)
2025-04-15 09:48:12:674 MCU   @[V] stopped at position (-24.05) (type: 1) (motion control)
2025-04-15 09:48:12:875 MCU   @[X] start moving to -15.50 (motion control)
2025-04-15 09:48:12:876 MCU   @[V] start moving to -5.00 (motion control)
2025-04-15 09:48:13:086 MCU   @[X] start moving to target position. target=-910256
2025-04-15 09:48:13:129 MCU   @[Y] end of movement. target=-836943 actual=-837795 (852)
2025-04-15 09:48:13:152 MCU   @[Y] stopped at position (-14.27) (type: 1) (motion control)
2025-04-15 09:48:13:173 MCU   @[Y] start moving to -5.00 (motion control)
2025-04-15 09:48:13:217 MCU   @[V] start moving to target position. target=170585
2025-04-15 09:48:13:382 MCU   @[Y] start moving to target position. target=-293546
2025-04-15 09:48:13:585 MCU   @[R] end of movement. target=-97848 actual=-97934 (86)
2025-04-15 09:48:13:788 MCU   @[R] stopped at position (-5.00) (type: 0) (motion control)
2025-04-15 09:48:13:990 MCU   @[R] start moving to -113.01 (motion control)
2025-04-15 09:48:13:991 MCU   @[P] end of movement. target=-1556634 actual=-1557304 (670)
2025-04-15 09:48:14:014 MCU   @[P] stopped at position (-159.15) (type: 1) (motion control)
2025-04-15 09:48:14:036 MCU   @[P] start moving to -5.00 (motion control)
2025-04-15 09:48:14:205 MCU   @[R] start moving to target position. target=-2211658
2025-04-15 09:48:14:310 MCU   @[P] start moving to target position. target=-48924
2025-04-15 09:48:16:718 MCU   @[X] end of movement. target=-910256 actual=-910727 (471)
2025-04-15 09:48:16:921 MCU   @[X] stopped at position (-15.51) (type: 1) (motion control)
2025-04-15 09:48:17:123 MCU   @[X] start moving to -5.00 (motion control)
2025-04-15 09:48:17:124 MCU   @[V] end of movement. target=170585 actual=170068 (517)
2025-04-15 09:48:17:148 MCU   @[V] stopped at position (-4.98) (type: 0) (motion control)
2025-04-15 09:48:17:169 MCU   @[V] start moving to -24.01 (motion control)
2025-04-15 09:48:17:336 MCU   @[X] start moving to target position. target=-293546
2025-04-15 09:48:17:463 MCU   @[V] start moving to target position. target=819306
2025-04-15 09:48:17:865 MCU   @[Z] end of movement. target=-440320 actual=-439720 (-600)
2025-04-15 09:48:18:067 MCU   @[Z] stopped at position (-4.99) (type: 0) (motion control)
2025-04-15 09:48:18:268 MCU   @[Z] start moving to -44.01 (motion control)
2025-04-15 09:48:18:269 MCU   @[Y] end of movement. target=-293546 actual=-293572 (26)
2025-04-15 09:48:18:292 MCU   @[Y] stopped at position (-5.00) (type: 0) (motion control)
2025-04-15 09:48:18:313 MCU   @[Y] start moving to -14.26 (motion control)
2025-04-15 09:48:18:438 MCU   @[H] end of movement. target=1467206 actual=1467499 (-293)
2025-04-15 09:48:18:462 MCU   @[H] stopped at position (-43.01) (type: 1) (motion control)
2025-04-15 09:48:18:484 MCU   @[H] start moving to -5.00 (motion control)
2025-04-15 09:48:18:484 MCU   @[Z] start moving to target position. target=-3875747
2025-04-15 09:48:18:612 MCU   @[Y] start moving to target position. target=-836943
2025-04-15 09:48:18:737 MCU   @[H] start moving to target position. target=170585
2025-04-15 09:48:20:744 MCU   @[V] end of movement. target=819306 actual=820351 (-1045)
2025-04-15 09:48:20:946 MCU   @[V] stopped at position (-24.05) (type: 1) (motion control)
2025-04-15 09:48:21:147 MCU   @[V] start moving to -5.00 (motion control)
2025-04-15 09:48:21:353 MCU   @[V] start moving to target position. target=170585
2025-04-15 09:48:21:755 MCU   @[Y] end of movement. target=-836943 actual=-837630 (687)
2025-04-15 09:48:21:958 MCU   @[Y] stopped at position (-14.27) (type: 1) (motion control)
2025-04-15 09:48:22:160 MCU   @[Y] start moving to -5.00 (motion control)
2025-04-15 09:48:22:367 MCU   @[Y] start moving to target position. target=-293546
2025-04-15 09:48:22:971 MCU   @[X] end of movement. target=-293546 actual=-293623 (77)
2025-04-15 09:48:23:174 MCU   @[X] stopped at position (-5.00) (type: 0) (motion control)
2025-04-15 09:48:23:375 MCU   @[X] start moving to -15.50 (motion control)
2025-04-15 09:48:23:375 MCU   @[P] end of movement. target=-48924 actual=-48355 (-569)
2025-04-15 09:48:23:398 MCU   @[P] stopped at position (-4.94) (type: 0) (motion control)
2025-04-15 09:48:23:420 MCU   @[P] start moving to -159.09 (motion control)
2025-04-15 09:48:23:592 MCU   @[X] start moving to target position. target=-910256
2025-04-15 09:48:23:719 MCU   @[P] start moving to target position. target=-1556634
2025-04-15 09:48:25:323 MCU   @[V] end of movement. target=170585 actual=170028 (557)
2025-04-15 09:48:25:525 MCU   @[V] stopped at position (-4.98) (type: 0) (motion control)
2025-04-15 09:48:25:727 MCU   @[V] start moving to -24.01 (motion control)
2025-04-15 09:48:25:956 MCU   @[V] start moving to target position. target=819306
2025-04-15 09:48:26:558 MCU   @[H] end of movement. target=170585 actual=170581 (4)
2025-04-15 09:48:26:761 MCU   @[H] stopped at position (-5.00) (type: 0) (motion control)
2025-04-15 09:48:26:963 MCU   @[H] start moving to -43.00 (motion control)
